Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR,Name-additional
725,Burch Smith,34,BAL,26.2,25,25,5,2,1,1,0,1,0%,4,3,10,1,10%,8,.498,4,5,16,9,3,13,7,18,6,7,8,5,3.2,16,smithbu03
726,Cade Smith,25,CLE,75.1,74,74,2,6,1,3,1,2,33%,31,28,36,2,6%,6,1.154,25,23,26,42,11,21,26,48,17,17,23,12,3.1,16,smithca06
727,Dominic Smith*,29,BOS,3.0,3,3,3,0,0,0,0,0,,0,0,0,0,,9,.001,0,0,3,0,0,3,0,3,0,0,0,0,3.0,10,smithdo02
728,Drew Smith,30,NYM,17.2,19,19,4,1,1,2,2,0,100%,8,6,15,7,47%,9,1.536,8,7,4,11,2,6,9,10,2,7,3,3,2.8,17,smithdr01
729,Pavin Smith*,28,ARI,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,8,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,17,smithpa04
730,Will Smith*,34,KCR,41.1,45,45,13,0,4,2,1,1,50%,10,8,13,5,38%,8,.882,9,11,25,20,3,22,7,38,2,9,4,5,2.8,15,smithwi04
731,Drew Smyly*,35,CHC,58.2,50,50,8,4,8,3,0,3,0%,13,10,17,7,41%,6,1.103,15,13,22,27,9,14,15,35,21,15,23,8,3.5,20,smylydr01
732,Kirby Snead*,29,SEA,10.1,11,11,2,0,0,0,0,0,,0,0,4,1,25%,7,.251,0,1,10,2,0,9,4,7,2,5,2,0,2.8,18,sneadki01
733,Collin Snider,28,SEA,41.2,42,42,9,3,4,2,0,2,0%,11,9,7,4,57%,8,1.517,14,13,15,18,10,14,7,35,5,7,6,10,3.0,16,snideco01
734,George Soriano,25,MIA,29.1,22,22,11,1,1,4,1,3,25%,6,2,13,8,62%,8,.632,3,5,14,8,0,14,7,15,8,5,8,2,4.0,24,soriage01
735,José Soriano,25,LAA,113.0,22,2,1,0,1,0,0,0,,1,1,0,0,,7,.972,1,1,0,1,1,0,0,2,2,0,2,0,9.0,39,soriajo02
736,Michael Soroka,26,CHW,79.2,25,16,7,0,5,1,0,1,0%,3,2,9,3,33%,6,1.008,5,4,7,6,3,7,7,9,11,1,12,0,6.8,43,sorokmi01
737,Gregory Soto*,29,TOT,53.0,66,66,18,3,5,4,2,2,50%,15,11,30,9,30%,,1.017,19,16,31,27,10,29,21,45,1,23,5,12,2.4,15,sotogr01
738,Gregory Soto*,29,PHI,35.1,43,43,13,2,4,3,2,1,67%,10,7,18,6,33%,8,1.231,17,8,18,20,8,15,14,29,1,13,2,8,2.5,15,sotogr01
739,Gregory Soto*,29,BAL,17.2,23,23,5,1,1,1,0,1,0%,5,4,12,3,25%,7,.569,2,8,13,7,2,14,7,16,0,10,3,4,2.3,14,sotogr01
740,Alex Speas,26,HOU,2.0,1,1,1,0,0,0,0,0,,0,0,0,0,,8,.055,0,0,1,0,0,1,0,1,1,0,1,0,6.0,39,speasal01
741,Gabe Speier*,29,SEA,23.2,29,29,3,0,2,1,0,1,0%,8,7,14,5,36%,7,1.166,12,4,13,15,6,8,10,19,2,11,3,2,2.4,15,speiega01
742,Mitch Spence,26,OAK,151.1,35,11,2,3,1,0,0,0,,1,1,1,0,0%,7,.908,2,6,3,1,2,8,2,9,8,1,8,0,6.9,33,spencmi01
743,Carson Spiers,26,CIN,90.2,22,12,4,1,1,0,0,0,,0,0,5,2,40%,6,.635,1,3,8,2,2,8,3,9,12,0,12,0,9.8,56,spierca01
744,Ryne Stanek,32,TOT,55.1,63,63,14,7,3,11,7,4,64%,30,17,15,7,47%,,1.353,30,12,21,38,11,14,10,53,2,20,3,7,2.6,16,stanery01
745,Ryne Stanek,32,SEA,39.0,46,46,12,6,3,11,7,4,64%,27,15,14,6,43%,8,1.700,29,9,8,30,11,5,9,37,1,17,2,7,2.5,15,stanery01
746,Ryne Stanek,32,NYM,16.1,17,17,2,1,0,0,0,0,,3,2,1,1,100%,8,.489,1,3,13,8,0,9,1,16,1,3,1,0,2.9,17,stanery01
747,Josh Staumont,30,MIN,24.1,25,25,12,1,0,0,0,0,,1,1,17,8,47%,8,.650,6,2,17,6,5,14,9,16,4,4,4,4,2.9,17,staumjo01
748,Michael Stefanic,28,LAA,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,8,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,15,stefami01
749,Jackson Stephens,30,ATL,3.1,3,3,3,0,0,0,0,0,,0,0,2,2,100%,9,.016,0,0,3,1,0,2,1,2,1,0,1,1,3.3,17,stephja01
750,Justin Sterner,27,TBR,4.0,2,2,1,0,0,0,0,0,,0,0,0,0,,7,.473,0,0,2,1,0,1,0,2,2,0,2,0,6.0,32,sternju01
751,Brock Stewart,32,MIN,15.2,16,16,1,0,0,0,0,0,,7,7,3,0,0%,7,1.219,8,4,4,8,4,4,2,14,1,2,1,3,2.9,17,stewabr01
752,Matt Strahm*,32,PHI,62.2,66,66,10,6,2,9,3,6,33%,27,18,32,11,34%,7,1.366,31,22,13,34,16,16,20,46,5,12,7,13,2.8,15,strahma01
753,Chris Stratton,33,KCR,58.1,57,57,21,4,3,7,4,3,57%,12,5,24,5,21%,8,.865,15,8,34,23,5,29,12,45,9,10,10,10,3.1,17,stratch01
754,Hunter Stratton,27,PIT,37.2,36,36,8,2,1,3,1,2,33%,8,5,21,9,43%,8,1.243,11,12,13,14,6,16,14,22,10,11,12,7,3.1,17,strathu01
755,Hunter Strickland,35,LAA,73.1,72,72,10,3,2,4,1,3,25%,16,12,40,13,33%,7,.991,22,18,32,26,12,34,23,49,16,16,17,18,3.1,16,strichu01
756,Ross Stripling,34,OAK,85.1,22,8,3,0,0,0,0,0,,1,1,9,3,33%,8,.844,1,2,5,2,1,5,4,4,3,2,3,0,4.9,29,stripro01
757,Marcus Stroman,33,NYY,154.2,30,1,1,0,0,1,1,0,100%,1,0,0,0,,7,.946,0,0,1,1,0,0,0,1,1,0,1,0,9.0,64,stromma01
758,Peter Strzelecki,29,CLE,11.2,10,10,6,0,0,0,0,0,,1,1,1,0,0%,9,.328,1,0,9,1,0,9,1,9,3,3,5,1,3.5,19,strzepe01
759,Garrett Stubbs,31,PHI,4.0,4,4,4,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,4,0,0,4,0,4,0,0,0,0,3.0,16,stubbga01
760,Albert Suárez,34,BAL,133.2,32,8,1,1,0,1,0,1,0%,2,1,4,2,50%,7,.970,3,0,5,3,1,4,4,4,4,3,4,0,4.4,25,suareal01
761,José Suarez*,26,LAA,52.1,22,19,7,1,1,1,1,0,100%,1,0,16,7,44%,6,.798,0,5,14,4,0,15,8,11,14,2,16,0,6.3,39,suarejo01
762,Robert Suarez,33,SDP,65.0,65,65,55,9,3,42,36,6,86%,43,1,24,8,33%,9,1.689,34,18,13,52,12,1,14,51,10,8,11,20,3.0,15,suarero01
763,Wander Suero,32,HOU,0.0,1,1,1,0,1,0,0,0,,0,0,0,0,,10,2.560,1,0,0,0,1,0,1,0,0,1,0,0,0.0,2,suerowa01
764,Cole Sulser,34,TOT,16.1,10,8,2,1,0,0,0,0,,1,1,3,2,67%,,.713,0,4,4,1,1,6,2,6,4,0,5,1,5.0,28,sulseco01
765,Cole Sulser,34,NYM,4.2,4,4,1,0,0,0,0,0,,1,1,1,1,100%,6,.650,0,2,2,1,1,2,1,3,1,0,2,1,3.5,24,sulseco01
766,Cole Sulser,34,TBR,11.2,6,4,1,1,0,0,0,0,,0,0,2,1,50%,9,.747,0,2,2,0,0,4,1,3,3,0,3,0,6.5,33,sulseco01
767,Brent Suter*,34,CIN,65.2,47,44,20,1,0,2,2,0,100%,4,2,11,4,36%,8,.483,3,7,34,16,7,21,8,36,18,6,20,5,4.3,22,suterbr01
768,Erik Swanson,30,TOR,39.1,45,45,15,2,2,1,0,1,0%,10,9,13,7,54%,8,.838,8,11,26,15,5,25,8,37,1,11,2,6,2.6,15,swanser01
769,Dillon Tate,30,TOT,36.2,33,33,10,2,1,2,1,1,50%,5,3,17,8,47%,,.670,3,4,26,13,0,20,11,22,8,5,11,5,3.3,18,tatedi01
770,Dillon Tate,30,BAL,33.1,29,29,10,2,1,2,1,1,50%,4,2,16,8,50%,6,.672,3,3,23,12,0,17,10,19,8,4,9,5,3.4,18,tatedi01
771,Dillon Tate,30,TOR,3.1,4,4,0,0,0,0,0,0,,1,1,1,0,0%,8,.653,0,1,3,1,0,3,1,3,0,1,2,0,2.5,16,tatedi01
772,Troy Taylor,22,SEA,19.1,21,21,8,0,0,1,1,0,100%,7,6,3,2,67%,7,.837,3,8,10,12,2,7,2,19,0,3,0,4,2.8,16,taylotr01
773,Rowdy Tellez*,29,PIT,2.2,3,3,3,0,0,0,0,0,,0,0,2,2,100%,9,.000,0,0,3,0,0,3,1,2,0,1,0,0,2.7,15,tellero01
774,Kai-Wei Teng,25,SFG,11.0,4,4,0,0,0,0,0,0,,0,0,2,2,100%,7,.034,0,0,4,0,0,4,1,3,3,0,4,0,8.3,51,tengka01
775,Caleb Thielbar*,37,MIN,47.1,59,59,18,2,4,3,3,0,100%,13,10,25,10,40%,6,.883,14,15,30,21,9,29,18,41,5,27,7,6,2.4,15,thielca01
776,Keegan Thompson,29,CHC,30.1,24,24,9,2,1,2,2,0,100%,4,2,18,7,39%,5,.923,7,7,10,11,3,10,9,15,9,4,11,0,3.8,22,thompke02
777,Ryan Thompson,32,ARI,66.1,67,67,4,7,5,9,2,7,22%,33,24,19,8,42%,8,1.673,35,14,18,51,11,5,12,55,10,12,15,11,3.0,15,thompry02
778,Zack Thompson*,26,STL,17.0,5,3,0,0,0,0,0,0,,0,0,5,2,40%,5,.683,0,2,1,0,0,3,3,0,2,1,3,0,6.7,46,thompza02
779,Trent Thornton,30,SEA,72.1,71,71,16,4,3,1,1,0,100%,11,10,33,16,48%,8,.800,24,9,38,26,13,32,22,49,14,14,17,10,3.1,16,thorntr01
780,Jesús Tinoco,29,TOT,40.2,32,32,10,1,0,4,3,1,75%,10,6,15,3,20%,,.895,10,5,17,18,1,13,10,22,14,3,16,4,3.8,20,tinocje01
781,Jesús Tinoco,29,TOT,30.2,23,23,9,1,0,4,3,1,75%,9,5,13,3,23%,,1.129,9,5,9,16,1,6,9,14,11,0,11,3,4.0,19,tinocje01
782,Jesús Tinoco,29,TEX,10.0,9,9,1,0,0,0,0,0,,1,1,2,0,0%,7,.373,1,0,8,2,0,7,1,8,3,3,5,1,3.3,24,tinocje01
783,Jesús Tinoco,29,CHC,4.0,2,2,2,0,0,0,0,0,,0,0,0,0,,8,.069,0,0,2,0,0,2,0,2,2,0,2,0,6.0,25,tinocje01
784,Jesús Tinoco,29,MIA,26.2,21,21,7,1,0,4,3,1,75%,9,5,13,3,23%,8,1.280,9,5,7,16,1,4,9,12,9,0,9,3,3.8,18,tinocje01
785,Michael Tonkin,34,TOT,79.1,57,57,23,4,4,4,2,2,50%,5,1,38,12,32%,,.672,15,7,35,17,6,34,24,33,35,7,36,5,4.2,25,tonkimi01
786,Michael Tonkin,34,TOT,72.1,52,52,19,3,2,4,2,2,50%,5,1,36,11,31%,,.568,12,7,33,16,4,32,21,31,33,7,33,4,4.2,25,tonkimi01
787,Michael Tonkin,34,NYM,7.0,5,5,4,1,2,0,0,0,,0,0,2,1,50%,11,1.577,3,0,2,1,2,2,3,2,2,0,3,1,4.2,27,tonkimi01
788,Michael Tonkin,34,MIN,16.1,13,13,4,0,0,0,0,0,,0,0,8,2,25%,6,.301,1,3,9,0,1,12,5,8,7,2,7,2,3.8,25,tonkimi01
789,Michael Tonkin,34,NYY,56.0,39,39,15,3,2,4,2,2,50%,5,1,28,9,32%,7,.652,11,4,24,16,3,20,16,23,26,5,26,2,4.3,25,tonkimi01
790,Justin Topa,33,MIN,2.1,3,3,2,0,0,0,0,0,,0,0,3,2,67%,13,.515,1,0,2,1,0,2,1,2,0,1,0,1,2.3,7,topaju01
791,Luis Torrens,28,NYM,0.1,1,1,1,0,0,0,0,0,,0,0,1,0,0%,8,.000,0,0,1,0,0,1,1,0,0,1,0,0,1.0,3,torrelu01
792,Touki Toussaint,28,CHW,23.0,11,11,2,1,2,0,0,0,,1,1,3,2,67%,6,.622,1,3,7,3,1,7,3,8,9,2,9,1,6.3,45,toussto01
793,Blake Treinen,36,LAD,46.2,50,50,6,7,3,5,1,4,20%,21,16,16,4,25%,8,1.495,25,14,11,28,15,7,10,40,2,7,3,15,2.8,15,treinbl01
794,Jose Trevino,31,NYY,2.0,2,2,2,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,2,1,0,1,0,2,0,0,0,0,3.0,22,trevijo01
795,Cole Tucker,27,LAA,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,8,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,10,tuckeco01
796,Spencer Turnbull,31,PHI,54.1,17,10,4,1,0,0,0,0,,2,1,1,0,0%,9,.755,0,3,7,6,1,3,1,9,6,0,6,0,5.7,35,turnbsp01
797,Kyle Tyler,27,MIA,31.2,8,1,0,0,0,0,0,0,,0,0,0,0,,4,.997,0,1,0,1,0,0,0,1,1,0,1,0,6.0,21,tylerky01
798,Edwin Uceta,26,TBR,41.2,30,30,10,2,0,5,5,0,100%,12,7,10,2,20%,8,1.263,12,10,8,15,6,9,9,21,15,3,15,3,4.2,22,ucetaed01
799,José Ureña,32,TEX,109.0,33,24,8,3,2,1,1,0,100%,2,1,16,4,25%,6,.914,4,14,6,7,5,12,10,14,21,1,21,0,8.1,41,urenajo01
800,Abner Uribe,24,MIL,14.1,14,14,6,2,2,5,3,2,60%,5,0,0,0,,9,1.431,6,2,6,9,2,3,0,14,2,2,2,3,3.1,18,uribeab01
801,Naoyuki Uwasawa,30,BOS,4.0,2,2,2,0,0,0,0,0,,0,0,2,2,100%,8,.348,0,1,1,0,0,2,1,1,2,0,2,1,6.0,31,uwasana01
802,Ricky Vanasco,25,TOT,4.0,4,4,1,1,0,0,0,0,,1,1,0,0,,,.496,1,0,3,2,0,2,0,4,1,1,1,0,3.0,11,vanasri01
803,Ricky Vanasco,25,LAD,2.0,2,2,1,0,0,0,0,0,,0,0,0,0,,9,.328,0,0,2,1,0,1,0,2,1,1,1,0,3.0,14,vanasri01
804,Ricky Vanasco,25,DET,2.0,2,2,0,1,0,0,0,0,,1,1,0,0,,8,.747,1,0,1,1,0,1,0,2,0,0,0,0,3.0,9,vanasri01
805,Ildemaro Vargas,32,WSN,2.0,2,2,2,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,2,0,0,2,0,2,0,0,0,0,3.0,12,vargail01
806,Gus Varland,27,TOT,26.1,26,26,7,1,0,1,0,1,0%,1,0,12,3,25%,,.754,4,4,18,10,2,14,8,18,4,6,4,5,3.0,18,varlagu01
807,Gus Varland,27,LAD,6.0,7,7,2,0,0,0,0,0,,0,0,2,0,0%,8,.172,0,0,7,4,0,3,2,5,1,2,1,1,2.6,18,varlagu01
808,Gus Varland,27,CHW,20.1,19,19,5,1,0,1,0,1,0%,1,0,10,3,30%,8,.960,4,4,11,6,2,11,6,13,3,4,3,4,3.2,17,varlagu01
809,Louis Varland,26,MIN,49.2,16,9,1,0,1,0,0,0,,0,0,6,2,33%,8,1.077,4,3,2,1,6,2,3,6,6,0,6,2,5.8,33,varlalo01
810,Anthony Veneziano*,26,TOT,13.1,12,12,1,1,0,0,0,0,,1,1,7,6,86%,,.526,0,6,6,2,1,9,4,8,5,3,5,4,3.3,20,venezan01
811,Anthony Veneziano*,26,KCR,2.0,2,2,1,0,0,0,0,0,,0,0,0,0,,9,.183,0,0,2,0,0,2,0,2,0,0,0,1,3.0,23,venezan01
812,Anthony Veneziano*,26,MIA,11.1,10,10,0,1,0,0,0,0,,1,1,7,6,86%,6,.606,0,6,4,2,1,7,4,6,5,3,5,3,3.4,20,venezan01
813,Alex Vesia*,28,LAD,66.1,67,67,10,5,4,8,5,3,63%,22,13,32,8,25%,6,1.164,22,22,23,32,11,24,24,43,12,16,17,11,3.0,17,vesiaal01
814,Nick Vespi*,28,BAL,12.1,11,11,8,0,0,0,0,0,,0,0,2,0,0%,9,.127,0,0,11,4,0,7,1,10,2,0,3,1,3.4,15,vespini01
815,Will Vest,29,DET,70.1,69,69,14,3,4,8,2,6,25%,22,14,49,17,35%,7,1.178,24,15,30,32,11,26,34,35,19,22,23,9,3.1,17,vestwi01
816,Thyago Vieira,31,TOT,38.0,28,28,13,0,1,1,1,0,100%,2,1,12,4,33%,,.308,1,2,25,12,0,16,8,20,11,5,12,5,4.1,26,vieirth01
817,Thyago Vieira,31,TOT,38.0,27,27,13,0,1,1,1,0,100%,2,1,12,4,33%,,.317,1,2,24,11,0,16,8,19,11,4,12,5,4.2,26,vieirth01
818,Thyago Vieira,31,MIL,22.1,16,16,9,0,0,1,1,0,100%,1,0,6,0,0%,9,.236,0,1,15,6,0,10,3,13,6,2,7,3,4.2,27,vieirth01
819,Thyago Vieira,31,BAL,0.0,1,1,0,0,0,0,0,0,,0,0,0,0,,8,.025,0,0,1,1,0,0,0,1,0,1,0,0,0.0,26,vieirth01
820,Thyago Vieira,31,ARI,15.2,11,11,4,0,1,0,0,0,,1,1,6,4,67%,9,.446,1,1,9,5,0,6,5,6,5,2,5,2,4.3,25,vieirth01
821,Eli Villalobos,27,MIA,4.1,3,3,1,0,0,0,0,0,,0,0,1,0,0%,9,.205,0,0,3,1,0,2,1,2,2,0,2,1,4.3,24,villael02
822,Darius Vines,26,ATL,13.2,4,2,1,0,0,0,0,0,,0,0,0,0,,8,.619,0,0,2,0,0,2,0,2,1,0,1,0,6.0,52,vinesda01
823,Victor Vodnik,24,COL,73.2,64,64,19,5,4,15,9,6,60%,22,6,31,10,32%,7,1.346,28,12,24,28,11,25,18,46,21,10,21,13,3.5,21,vodnivi01
824,Austin Voth,32,SEA,61.0,68,68,17,2,5,2,0,2,0%,18,15,19,3,16%,8,.838,22,14,32,31,8,29,16,52,6,19,7,9,2.7,14,vothau01
825,Jacob Waguespack,30,TBR,10.0,4,3,1,0,0,0,0,0,,0,0,0,0,,7,.473,0,0,3,0,0,3,0,3,2,0,2,0,6.0,50,wagueja01
826,Matt Waldron,27,SDP,146.2,27,1,0,0,0,0,0,0,,0,0,1,0,0%,4,.879,0,0,1,0,0,1,1,0,1,0,1,0,12.0,94,waldrma01
827,Josh Walker*,29,NYM,12.1,10,10,5,0,0,0,0,0,,0,0,11,5,45%,8,.220,0,2,8,0,0,10,6,4,5,3,6,2,3.7,21,walkejo03
828,Ryan Walker,28,SFG,80.0,76,75,22,10,4,14,10,4,71%,36,21,26,4,15%,7,1.554,38,22,15,44,20,11,17,58,12,7,13,19,3.2,16,walkery01
829,Taijuan Walker,31,PHI,83.2,19,4,1,0,0,0,0,0,,0,0,3,3,100%,4,.865,1,0,3,1,0,3,1,3,4,0,4,0,7.3,42,walketa01
830,Matt Wallner,26,MIN,1.1,1,1,1,0,0,0,0,0,,0,0,2,2,100%,7,.000,0,0,1,0,0,1,1,0,1,0,1,0,4.0,21,wallnma01
831,Blake Walston*,23,ARI,18.1,7,5,3,1,0,0,0,0,,0,0,2,1,50%,10,.649,0,0,5,0,0,5,2,3,3,1,3,1,5.6,38,walstbl01
832,Andrew Walters,23,CLE,8.2,9,8,3,1,0,0,0,0,,0,0,1,1,100%,7,.725,0,4,4,0,2,6,1,7,0,2,0,3,2.6,14,waltean01
833,Donovan Walton,30,SFG,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,13,waltodo01
834,Andrew Wantz,28,LAA,1.1,1,1,0,0,0,0,0,0,,0,0,2,2,100%,5,.135,0,0,1,0,0,1,1,0,1,0,1,0,4.0,35,wantzan01
835,Austin Warren,28,SFG,10.2,6,6,3,0,0,0,0,0,,0,0,1,0,0%,8,.107,0,0,6,2,0,4,1,5,5,1,5,0,5.3,29,warreau01
836,Will Warren,25,NYY,22.2,6,1,1,0,0,0,0,0,,0,0,0,0,,9,.807,0,0,1,0,0,1,0,1,0,0,0,0,3.0,22,warrewi01
837,Luke Weaver,30,NYY,84.0,62,62,12,7,3,4,4,0,100%,27,22,22,6,27%,8,1.162,20,20,22,41,6,15,14,48,31,4,33,6,4.1,22,weavelu01
838,Jacob Webb,30,BAL,56.2,60,60,8,2,5,3,2,1,67%,17,14,37,10,27%,6,1.011,13,20,27,34,8,18,28,32,13,19,19,13,2.8,16,webbja01
839,Jordan Weems,31,WSN,41.2,41,41,10,1,1,2,0,2,0%,7,5,20,8,40%,6,.588,4,12,25,12,2,27,12,29,8,9,10,6,3.0,18,weemsjo01
840,Greg Weissert,29,BOS,63.1,62,62,16,4,2,5,1,4,20%,11,6,36,14,39%,7,1.230,19,17,26,28,12,22,26,36,15,18,17,17,3.1,17,weissgr01
841,Joey Wentz*,26,TOT,67.1,46,46,16,1,2,1,1,0,100%,3,2,26,9,35%,,.441,1,13,32,13,4,29,17,29,26,6,29,4,4.4,27,wentzjo01
842,Joey Wentz*,26,DET,55.1,38,38,16,0,2,1,1,0,100%,3,2,16,5,31%,7,.409,0,10,28,11,2,25,13,25,21,4,23,4,4.4,27,wentzjo01
843,Joey Wentz*,26,PIT,12.0,8,8,0,1,0,0,0,0,,0,0,10,4,40%,5,.602,1,3,4,2,2,4,4,4,5,2,6,0,4.5,27,wentzjo01
844,Hayden Wesneski,26,CHC,67.2,28,21,2,2,3,1,0,1,0%,3,2,18,7,39%,6,.929,10,7,4,4,9,8,10,11,12,4,13,2,4.6,23,wesneha01
845,Mitch White,29,TOT,23.2,13,13,9,1,1,0,0,0,,0,0,8,3,38%,,.348,1,1,11,3,1,9,6,7,9,3,9,2,5.5,32,whitemi03
846,Mitch White,29,TOT,13.2,9,9,7,0,1,0,0,0,,0,0,5,1,20%,,.445,1,0,8,2,1,6,4,5,6,2,6,2,4.6,27,whitemi03
847,Mitch White,29,TOR,10.0,4,4,2,1,0,0,0,0,,0,0,3,2,67%,10,.191,0,1,3,1,0,3,2,2,3,1,3,0,7.5,42,whitemi03
848,Mitch White,29,SFG,5.1,3,3,2,0,0,0,0,0,,0,0,2,1,50%,9,.138,0,0,3,0,0,3,1,2,2,0,2,0,5.3,39,whitemi03
849,Mitch White,29,MIL,8.1,6,6,5,0,1,0,0,0,,0,0,3,0,0%,10,.674,1,0,5,2,1,3,3,3,4,2,4,2,4.2,22,whitemi03
850,Owen White,24,TEX,3.0,3,3,2,0,0,0,0,0,,0,0,0,0,,9,.097,0,0,3,1,0,2,0,3,1,1,1,0,3.0,23,whiteow01
851,Forrest Whitley,26,HOU,3.1,3,3,2,0,0,0,0,0,,0,0,2,2,100%,9,.108,0,0,3,0,0,3,1,2,1,1,1,0,3.3,31,whitlfo01
852,Jordan Wicks*,24,CHC,46.0,11,1,0,0,0,0,0,0,,0,0,0,0,,5,.986,0,0,1,0,0,1,0,1,1,0,1,0,10.0,52,wicksjo01
853,Devin Williams,29,MIL,21.2,22,22,19,1,0,15,14,1,93%,15,0,0,0,,9,2.732,15,3,4,18,3,1,1,21,0,1,0,5,3.0,18,willide03
854,Luke Williams,27,ATL,4.0,3,3,3,0,0,0,0,0,,0,0,0,0,,9,.001,0,0,3,0,0,3,0,3,1,0,1,0,4.0,20,willilu01
855,Brandon Williamson*,26,CIN,14.1,4,1,0,0,0,0,0,0,,0,0,0,0,,2,.981,0,0,1,0,0,1,0,1,1,0,1,0,14.0,60,willibr02
856,Amos Willingham,25,WSN,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,8,.067,0,0,1,0,0,1,0,1,0,0,0,0,3.0,20,william01
857,Bryse Wilson,26,MIL,104.2,34,25,7,5,2,0,0,0,,0,0,15,6,40%,6,.852,3,10,12,7,7,11,9,16,17,2,17,1,7.6,38,wilsobr02
858,Justin Wilson*,36,CIN,46.2,60,60,15,1,5,4,2,2,50%,15,11,33,8,24%,7,.992,18,15,27,29,8,23,20,40,4,24,9,10,2.3,14,wilsoju10
859,Steven Wilson,29,CHW,34.2,40,40,12,1,6,1,0,1,0%,10,9,9,1,11%,8,1.254,14,9,17,14,11,15,8,32,3,16,5,8,2.6,16,wilsost02
860,Weston Wilson,29,PHI,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,8,wilsowe01
861,Josh Winckowski,26,BOS,76.0,40,34,16,3,2,3,2,1,67%,8,4,10,2,20%,7,.950,12,4,18,15,7,12,11,23,13,4,15,3,4.7,27,winckjo01
862,Josh Winder,27,MIN,9.0,4,4,2,0,0,0,0,0,,0,0,0,0,,8,.338,0,1,3,1,0,3,0,4,4,0,4,0,6.8,35,windejo01
863,Trey Wingenter,30,TOT,8.1,7,7,5,0,0,0,0,0,,0,0,2,0,0%,,.134,0,0,7,4,0,3,1,6,2,0,2,1,3.6,26,wingetr01
864,Trey Wingenter,30,BOS,2.1,2,2,1,0,0,0,0,0,,0,0,2,0,0%,9,.076,0,0,2,2,0,0,1,1,1,0,1,0,3.5,30,wingetr01
865,Trey Wingenter,30,CHC,6.0,5,5,4,0,0,0,0,0,,0,0,0,0,,9,.163,0,0,5,2,0,3,0,5,1,0,1,1,3.6,24,wingetr01
866,Cole Winn,24,TEX,17.1,13,13,8,0,1,0,0,0,,0,0,11,7,64%,7,.344,2,1,10,2,1,10,4,9,8,1,8,2,4.0,22,winnco01
867,Patrick Wisdom,32,CHC,0.1,1,1,1,0,0,0,0,0,,0,0,2,1,50%,8,.000,0,0,1,0,0,1,1,0,0,1,0,0,1.0,13,wisdopa01
868,Jake Woodford,27,TOT,35.0,9,2,1,0,1,0,0,0,,0,0,2,0,0%,,.790,1,1,0,0,1,1,1,1,2,0,2,0,5.5,27,woodfja01
869,Jake Woodford,27,PIT,26.2,7,2,1,0,1,0,0,0,,0,0,2,0,0%,8,.814,1,1,0,0,1,1,1,1,2,0,2,0,5.5,27,woodfja01
870,Justin Wrobleski*,23,LAD,36.1,8,2,1,0,0,1,1,0,100%,1,0,0,0,,6,.830,0,0,2,2,0,0,0,2,2,0,2,0,9.0,45,wroblju01
871,Ryan Yarbrough*,32,TOT,98.2,44,44,12,5,2,4,1,3,25%,5,1,13,4,31%,,.798,7,13,24,16,6,22,10,34,34,2,35,3,6.7,34,yarbrry01
872,Ryan Yarbrough*,32,LAD,67.1,32,32,10,4,2,3,1,2,33%,4,1,8,2,25%,7,.780,5,9,18,14,2,16,6,26,24,1,24,3,6.3,33,yarbrry01
873,Ryan Yarbrough*,32,TOR,31.1,12,12,2,1,0,1,0,1,0%,1,0,5,2,40%,7,.842,2,4,6,2,4,6,4,8,10,1,11,0,7.8,38,yarbrry01
874,Mike Yastrzemski*,33,SFG,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,29,yastrmi01
875,Kirby Yates,37,TEX,61.2,61,61,50,7,2,34,33,1,97%,36,2,19,4,21%,9,1.889,37,12,12,43,14,4,11,50,7,6,7,16,3.0,17,yateski01
876,Alex Young*,30,TOT,15.2,17,17,8,0,0,0,0,0,,1,1,8,2,25%,,.338,2,1,14,5,0,12,7,10,2,6,3,3,2.8,16,youngal01
877,Alex Young*,30,CIN,2.0,3,3,1,0,0,0,0,0,,0,0,1,0,0%,8,.188,0,0,3,0,0,3,1,2,0,2,0,1,2.0,11,youngal01
878,Alex Young*,30,NYM,13.2,14,14,7,0,0,0,0,0,,1,1,7,2,29%,9,.364,2,1,11,5,0,9,6,8,2,4,3,2,2.9,17,youngal01
