Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR,Name-additional
619,Evan Phillips,29,LAD,54.2,61,61,28,5,1,22,18,4,82%,31,9,19,6,32%,9,1.260,29,20,12,42,10,9,14,47,1,11,1,16,2.7,15,phillev01
620,Tyler Phillips,26,PHI,36.2,8,1,1,0,0,0,0,0,,0,0,0,0,,5,.739,0,0,1,0,0,1,0,1,1,0,1,0,12.0,53,phillty01
621,Riley Pint,26,COL,3.1,4,4,1,0,0,0,0,0,,0,0,3,2,67%,6,.516,0,1,3,0,0,4,2,2,0,2,0,0,2.5,26,pintri01
622,Ricardo Pinto,30,PHI,10.2,6,6,5,0,0,1,1,0,100%,1,0,0,0,,8,.243,0,1,5,2,0,4,0,6,3,1,3,0,5.3,37,pintori01
623,Nick Pivetta,31,BOS,145.2,27,1,0,0,1,0,0,0,,0,0,1,0,0%,2,.879,0,1,0,0,1,0,1,0,1,0,1,0,18.0,94,pivetni01
624,Colin Poche*,30,TBR,37.1,43,43,7,1,2,4,2,2,50%,24,20,13,3,23%,7,1.391,19,13,11,27,6,10,8,35,1,12,1,5,2.6,13,pocheco01
625,Zach Pop,27,TOR,48.1,58,58,12,2,4,4,1,3,25%,16,12,41,8,20%,8,.931,15,15,28,27,5,26,24,34,5,26,14,10,2.5,13,popza01
626,Cody Poteet,29,NYY,24.1,5,1,0,0,0,0,0,0,,0,0,1,0,0%,5,.587,0,0,1,0,0,1,1,0,1,0,1,0,10.0,57,poteeco01
627,Nick Pratto*,25,KCR,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,1,0,0,1,0,1,0,0,0,0,3.0,15,prattni01
628,Ryan Pressly,35,HOU,56.2,59,59,8,2,3,12,4,8,33%,37,25,6,1,17%,8,1.802,30,18,11,43,9,7,3,56,1,7,1,10,2.9,16,pressry01
629,Quinn Priester,23,TOT,49.2,11,4,1,2,1,0,0,0,,0,0,0,0,,,.899,0,3,1,1,2,1,0,4,3,0,3,0,9.8,50,priesqu01
630,Quinn Priester,23,PIT,44.2,10,4,1,2,1,0,0,0,,0,0,0,0,,7,.883,0,3,1,1,2,1,0,4,3,0,3,0,9.8,50,priesqu01
631,Austin Pruitt,34,TEX,4.1,4,4,3,0,0,0,0,0,,1,1,3,2,67%,8,.396,1,0,3,1,0,3,2,2,1,1,2,1,3.3,20,pruitau01
632,A.J. Puk*,29,TOT,71.1,62,58,9,4,5,6,3,3,50%,21,14,26,7,27%,,1.237,27,11,20,34,10,14,19,39,10,16,16,12,3.0,15,pukaj01
633,A.J. Puk*,29,MIA,44.0,32,28,4,4,4,2,1,1,50%,10,7,13,4,31%,7,1.228,15,6,7,12,6,10,10,18,8,7,10,4,3.3,15,pukaj01
634,A.J. Puk*,29,ARI,27.1,30,30,5,0,1,4,2,2,50%,11,7,13,3,23%,8,1.255,12,5,13,22,4,4,9,21,2,9,6,8,2.7,14,pukaj01
635,José Quijada*,28,LAA,19.1,22,22,5,2,2,2,0,2,0%,9,7,2,0,0%,8,1.468,9,8,5,11,4,7,3,19,0,5,0,1,2.6,17,quijajo01
636,Tanner Rainey,31,WSN,51.0,50,50,30,0,0,0,0,0,,0,0,7,1,14%,9,.178,1,0,49,7,0,43,4,46,3,3,5,9,3.1,19,raineta01
637,Brooks Raley*,36,NYM,7.0,8,8,1,1,0,0,0,0,,4,4,4,1,25%,7,1.716,7,0,1,4,3,1,2,6,0,2,0,3,2.6,15,raleybr01
638,Emmanuel Ramirez,29,MIA,20.2,15,15,2,0,1,0,0,0,,0,0,2,0,0%,8,.459,1,2,12,1,1,13,3,12,7,1,7,2,4.1,25,ramirem01
639,Erasmo Ramírez,34,TBR,20.2,13,13,10,3,0,1,1,0,100%,1,0,9,2,22%,7,.456,3,2,8,2,1,10,5,8,7,3,7,2,4.8,23,ramirer02
640,Nick Ramirez*,34,LAD,13.1,8,8,7,0,0,0,0,0,,0,0,0,0,,9,.155,0,0,8,2,0,6,0,8,5,0,5,2,5.0,24,ramirni01
641,Yohan Ramírez,29,TOT,44.9,38,38,11,0,5,3,1,2,33%,6,3,10,3,30%,,.904,8,7,23,12,3,23,9,29,15,9,18,8,3.6,20,ramiryo01
642,Yohan Ramírez,29,TOT,7.1,6,6,2,0,0,0,0,0,,0,0,5,1,20%,,.363,0,0,6,2,0,4,4,2,4,1,4,0,3.7,22,ramiryo01
